Year,Month,Day,value
2009,1,27,99265.0
2009,1,28,99265.0
2009,1,29,99265.0
2009,1,30,99265.0
2009,2,2,99265.0
2009,2,3,99265.0
2009,2,4,99265.0
2009,2,5,99265.0
2009,2,6,99265.0
2009,2,9,99265.0
2009,2,10,99265.0
2009,2,11,99265.0
2009,2,12,99265.0
2009,2,13,99265.0
2009,2,17,99265.0
2009,2,18,99265.0
2009,2,19,99265.0
2009,2,20,99265.0
2009,2,23,99265.0
2009,2,24,99265.0
2009,2,25,99265.0
2009,2,26,99265.0
2009,2,27,99265.0
2009,3,2,99265.0
2009,3,3,99265.0
2009,3,4,99265.0
2009,3,5,99265.0
2009,3,6,99265.0
2009,3,9,99265.0
2009,3,10,99265.0
2009,3,11,99265.0
2009,3,12,99265.0
2009,3,13,99265.0
2009,3,16,99265.0
2009,3,17,99265.0
2009,3,18,99265.0
2009,3,19,99250.0
2009,3,20,99247.0
2009,3,23,99358.0
2009,3,24,99363.0
2009,3,25,99395.0
2009,3,26,99427.0
2009,3,27,99418.0
2009,3,30,99458.0
2009,3,31,99593.0
2009,4,1,99639.0
2009,4,2,99788.0
2009,4,3,99747.0
2009,4,6,99551.0
2009,4,7,99614.0
2009,4,8,99761.0
2009,4,9,99796.0
2009,4,13,99902.0
2009,4,14,99899.0
2009,4,15,99924.0
2009,4,16,99959.0
2009,4,17,99864.0
2009,4,20,99837.0
2009,4,21,99885.0
2009,4,22,99850.0
2009,4,23,99901.0
2009,4,24,99876.0
2009,4,27,99883.0
2009,4,28,99959.0
2009,4,29,100040.0
2009,4,30,100188.0
2009,5,1,100157.0
2009,5,4,101378.0
2009,5,5,100752.0
2009,5,6,101365.0
2009,5,7,101937.0
2009,5,8,103359.0
2009,5,11,104121.0
2009,5,12,103590.0
2009,5,13,102398.0
2009,5,14,102944.0
2009,5,15,103045.0
2009,5,18,103378.0
2009,5,19,103378.0
2009,5,20,103378.0
2009,5,21,103378.0
2009,5,22,103378.0
2009,5,26,103378.0
2009,5,27,103378.0
2009,5,28,103378.0
2009,5,29,103378.0
2009,6,1,103647.0
2009,6,2,103659.0
2009,6,3,103402.0
2009,6,4,103780.0
2009,6,5,103722.0
2009,6,8,103785.0
2009,6,9,103915.0
2009,6,10,103726.0
2009,6,11,103918.0
2009,6,12,103836.0
2009,6,15,103722.0
2009,6,16,103734.0
2009,6,17,103734.0
2009,6,18,103734.0
2009,6,19,103734.0
2009,6,22,103734.0
2009,6,23,103734.0
2009,6,24,103734.0
2009,6,25,103734.0
2009,6,26,103734.0
2009,6,29,103734.0
2009,6,30,103734.0
2009,7,1,103734.0
2009,7,2,103734.0
2009,7,6,103734.0
2009,7,7,103734.0
2009,7,8,103734.0
2009,7,9,103734.0
2009,7,10,103734.0
2009,7,13,103734.0
2009,7,14,103734.0
2009,7,15,103734.0
2009,7,16,103734.0
2009,7,17,103734.0
2009,7,20,103734.0
2009,7,21,103730.0
2009,7,22,103874.0
2009,7,23,103962.0
2009,7,24,103958.0
2009,7,27,104171.0
2009,7,28,104590.0
2009,7,29,104859.0
2009,7,30,104750.0
2009,7,31,104846.0
2009,8,3,104926.0
2009,8,4,104984.0
2009,8,5,104717.0
2009,8,6,104443.0
2009,8,7,104973.0
2009,8,10,104771.0
2009,8,11,104657.0
2009,8,12,104681.0
2009,8,13,104656.0
2009,8,14,104655.0
2009,8,17,104639.0
2009,8,18,104633.0
2009,8,19,104714.0
2009,8,20,104704.0
2009,8,21,104704.0
2009,8,24,104693.0
2009,8,25,104675.0
2009,8,26,104684.0
2009,8,27,104675.0
2009,8,28,100672.0
2009,8,31,100459.0
2009,9,1,100257.0
2009,9,2,100459.0
2009,9,3,100682.0
2009,9,4,104973.0
2009,9,8,104973.0
2009,9,9,104973.0
2009,9,10,104973.0
2009,9,11,104921.0
2009,9,14,105146.0
2009,9,15,105270.0
2009,9,16,105506.0
2009,9,17,105295.0
2009,9,18,105433.0
2009,9,21,105617.0
2009,9,22,106239.0
2009,9,23,106068.0
2009,9,24,105857.0
2009,9,25,105959.0
2009,9,28,106130.0
2009,9,29,106200.0
2009,9,30,106200.0
2009,10,1,106200.0
2009,10,2,106200.0
2009,10,5,106200.0
2009,10,6,106200.0
2009,10,7,106200.0
2009,10,8,106200.0
2009,10,9,106200.0
2009,10,12,106214.0
2009,10,13,106263.0
2009,10,14,106271.0
2009,10,15,106233.0
2009,10,16,106290.0
2009,10,19,106621.0
2009,10,20,106442.0
2009,10,21,105401.0
2009,10,22,106434.0
2009,10,23,105749.0
2009,10,26,105005.0
2009,10,27,104675.0
2009,10,28,104675.0
2009,10,29,104675.0
2009,10,30,104675.0
2009,11,2,104675.0
2009,11,3,104675.0
2009,11,4,104675.0
2009,11,5,104675.0
2009,11,6,104675.0
2009,11,9,104675.0
2009,11,10,104675.0
2009,11,11,104675.0
2009,11,12,104658.0
2009,11,13,104711.0
2009,11,16,104918.0
2009,11,17,104852.0
2009,11,18,104692.0
2009,11,19,104537.0
2009,11,20,104520.0
2009,11,23,104565.0
2009,11,24,104486.0
2009,11,25,104498.0
2009,11,27,104498.0
2009,11,30,104498.0
2009,12,1,104498.0
2009,12,2,104498.0
2009,12,3,104498.0
2009,12,4,104498.0
2009,12,7,104498.0
2009,12,8,104498.0
2009,12,9,104498.0
2009,12,10,104498.0
2009,12,11,104498.0
2009,12,14,104498.0
2009,12,15,104246.0
2009,12,16,104045.0
2009,12,17,103717.0
2009,12,18,103941.0
2009,12,21,104020.0
2009,12,22,104138.0
2009,12,23,104344.0
2009,12,24,104446.0
2009,12,28,104429.0
2009,12,29,104649.0
2009,12,30,104563.0
